timestamp,distance_mm
2026-02-20 10:00:47,25
2026-02-20 10:00:48,25
2026-02-20 10:00:48,25
2026-02-20 10:00:48,25
2026-02-20 10:00:48,25
2026-02-20 10:00:49,25
2026-02-20 10:00:49,25
2026-02-20 10:00:49,25
2026-02-20 10:00:50,29
2026-02-20 10:00:50,25
2026-02-20 10:00:50,25
2026-02-20 10:00:51,25
2026-02-20 10:00:51,25
2026-02-20 10:00:51,25
2026-02-20 10:00:51,25
2026-02-20 10:00:52,25
2026-02-20 10:00:52,25
2026-02-20 10:00:52,25
2026-02-20 10:00:53,25
2026-02-20 10:00:53,25
2026-02-20 10:00:53,25
2026-02-20 10:00:54,25
2026-02-20 10:00:54,25
2026-02-20 10:00:54,25
2026-02-20 10:00:54,25
2026-02-20 10:00:55,25
2026-02-20 10:00:55,25
2026-02-20 10:00:55,25
2026-02-20 10:00:56,25
2026-02-20 10:00:56,25
2026-02-20 10:00:56,25
2026-02-20 10:00:57,25
2026-02-20 10:00:57,25
2026-02-20 10:00:57,25
2026-02-20 10:00:57,25
2026-02-20 10:00:58,25
2026-02-20 10:00:58,25
2026-02-20 10:00:58,25
2026-02-20 10:00:59,25
2026-02-20 10:00:59,25
2026-02-20 10:00:59,25
2026-02-20 10:01:00,25
2026-02-20 10:01:00,25
2026-02-20 10:01:00,25
2026-02-20 10:01:00,25
2026-02-20 10:01:01,25
2026-02-20 10:01:01,25
2026-02-20 10:01:01,25
2026-02-20 10:01:02,25
2026-02-20 10:01:02,25
2026-02-20 10:01:02,25
2026-02-20 10:01:03,25
2026-02-20 10:01:03,25
2026-02-20 10:01:03,25
2026-02-20 10:01:03,25
2026-02-20 10:01:04,25
2026-02-20 10:01:04,25
2026-02-20 10:01:04,25
2026-02-20 10:01:05,25
2026-02-20 10:01:05,25
2026-02-20 10:01:05,25
2026-02-20 10:01:06,25
2026-02-20 10:01:06,25
2026-02-20 10:01:06,25
2026-02-20 10:01:06,25
2026-02-20 10:01:07,25
2026-02-20 10:01:07,25
2026-02-20 10:01:07,25
2026-02-20 10:01:08,25
2026-02-20 10:01:08,25
2026-02-20 10:01:08,25
2026-02-20 10:01:09,25
2026-02-20 10:01:09,25
2026-02-20 10:01:09,25
2026-02-20 10:01:09,25
2026-02-20 10:01:10,25
2026-02-20 10:01:10,25
2026-02-20 10:01:10,25
2026-02-20 10:01:11,25
2026-02-20 10:01:11,25
2026-02-20 10:01:11,25
2026-02-20 10:01:12,25
2026-02-20 10:01:12,25
2026-02-20 10:01:12,25
2026-02-20 10:01:12,25
2026-02-20 10:01:13,25
2026-02-20 10:01:13,25
2026-02-20 10:01:13,25
2026-02-20 10:01:14,25
2026-02-20 10:01:14,25
2026-02-20 10:01:14,25
2026-02-20 10:01:15,25
2026-02-20 10:01:15,25
2026-02-20 10:01:15,25
2026-02-20 10:01:15,25
2026-02-20 10:01:16,25
2026-02-20 10:01:16,25
2026-02-20 10:01:16,25
2026-02-20 10:01:17,25
2026-02-20 10:01:17,25
2026-02-20 10:01:17,25
2026-02-20 10:01:18,25
2026-02-20 10:01:18,25
2026-02-20 10:01:18,25
2026-02-20 10:01:18,25
2026-02-20 10:01:19,25
2026-02-20 10:01:19,25
2026-02-20 10:01:19,25
2026-02-20 10:01:20,25
2026-02-20 10:01:20,25
2026-02-20 10:01:20,25
2026-02-20 10:01:21,25
2026-02-20 10:01:21,25
2026-02-20 10:01:21,25
2026-02-20 10:01:21,25
2026-02-20 10:01:22,25
2026-02-20 10:01:22,25
2026-02-20 10:01:22,25
2026-02-20 10:01:23,25
