timestamp,latitude,longitude,speed_ms,heading_gps,heading_compass,fix_type,num_satellites
2026-03-22T17:55:41+00:00,59.4505511,17.8152844,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:42+00:00,59.450551,17.8152846,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:42+00:00,59.4505508,17.8152845,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:42+00:00,59.4505506,17.8152842,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:42+00:00,59.4505508,17.8152848,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:42+00:00,59.4505508,17.8152848,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:43+00:00,59.4505509,17.8152846,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:43+00:00,59.4505508,17.8152847,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:43+00:00,59.4505505,17.815285,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:43+00:00,59.4505504,17.8152852,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:43+00:00,59.4505503,17.8152855,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:44+00:00,59.45055,17.8152859,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:44+00:00,59.4505497,17.8152861,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:44+00:00,59.4505495,17.8152857,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:44+00:00,59.4505494,17.8152859,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:44+00:00,59.4505495,17.8152867,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:45+00:00,59.4505495,17.8152876,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:45+00:00,59.4505497,17.8152881,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:45+00:00,59.4505498,17.8152887,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:45+00:00,59.4505498,17.8152895,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:45+00:00,59.45055,17.8152906,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:46+00:00,59.45055,17.8152915,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:46+00:00,59.4505503,17.8152923,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:46+00:00,59.4505506,17.8152931,0.0,0.0,289.7988763545249,3,7
2026-03-22T17:55:46+00:00,59.4505508,17.8152938,0.0,0.0,289.7988763545249,3,7
